year,registered_voters,turnout,percent_turnout,valid_vote,ak_parti,anadolu_partisi,anap,atp,bbp,bp,btp,chp,dbp,dehap,depar,dp,dsp,dtp,dyp,emep,fp,genc_parti,hadep,hakpar,hap,has_parti,hdp,hepar,hkp,hp,huda_par,hyp,idp,ip,iyi_parti,kp,ldp,mcp,mdp,mep,mhp,millet_partisi,mmp,odp,rp,saadet_partisi,shp,sip,sp,tkp,turk_parti,vatan_partisi,ydh,ydp,yeni_parti,ytp,yurtp,city,ap,birlik_partisi,cgp,ckmp,cmp,demokratik_parti,gp,hurriyet_partisi,msp,tbp,tip,vp,ytp_,prev_year,winner,prev_winner,nationalist,right_wing,left_wing,political_islam,kurdish,liberal,socialist,soc_democ,populist,nat_prev,right_wing_prev,left_wing_prev,political_islam_prev,kurdish_prev,liberal_prev,socialist_prev,social_democ_prev,populist_prev,swing,saadet partisi,vatan partisi,ak parti,iyi parti,bgmz,bdp,millet partisi,sbp,bagimsizlar,baskanlik sayisi,genc parti,huda par,a.p.,turk parti,myp,BAĞIMSIZLAR_vote,bagimsizlar_percent,ANAP_vote,anap_percent,DSP_vote,dsp_percent,DYP_vote,dyp_percent,IDP_vote,idp_percent,MÇP_vote,mcp_percent,RP_vote,rp_percent,SHP_vote,shp_percent
2019,3922163.0,3362641.0,0.8573435117306445,3263648.0,,,,,,,5576.0,1662209.0,,,,0.0,9706.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,4629.0,,,,,,,,ankara,,,,,,,,,,,,,,2014.0,chp,akp,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,34182.0,6238.0,1538410.0,0.0,2698.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1707819.0,1456390.0,0.8527777241030812,1411011.0,,,,,,,2071.0,714302.0,,,,8073.0,13477.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,2135.0,,,,,,,,antalya,,,,,,,,,,,,,,2014.0,chp,akp,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,13601.0,3711.0,652882.0,0.0,759.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,820708.0,709289.0,0.8642403875678073,683704.0,,,,,,,1302.0,368791.0,,,,0.0,4188.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,1836.0,,,,,,,,aydin,,,,,,,,,,,,,,2014.0,chp,chp,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,5641.0,2890.0,299056.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,942088.0,817225.0,0.8674614261088136,785432.0,,,,,,,2144.0,0.0,,,,12654.0,5880.0,,,,,,,,,,10197.0,,,,,,,,,,,,,,0.0,,,,,,,,,1381.0,,,,,,,,balikesir,,,,,,,,,,,,,,2014.0,akp,akp,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,7810.0,3425.0,375539.0,365333.0,1069.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,2176696.0,1869050.0,0.8586637729843764,1810393.0,,,,,,,3545.0,851377.0,,,,11747.0,5975.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,1451.0,,,,,,,,bursa,,,,,,,,,,,,,,2014.0,akp,akp,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,32589.0,4024.0,898430.0,0.0,1255.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,754368.0,665945.0,0.8827853249342495,636308.0,,,,,,,1768.0,0.0,,,,6985.0,4393.0,,,,,,,,,,8833.0,,,,,,,,,,,,,,0.0,,,,,,,,,1015.0,,,,,,,,denizli,,,,,,,,,,,,,,2014.0,akp,akp,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,4955.0,2427.0,321932.0,279654.0,4346.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1048250.0,824904.0,0.7869344145003577,779593.0,,,,,,,1425.0,14270.0,,,,0.0,4378.0,,,,,,,,,,490571.0,,,,,,,,,,,,,,0.0,,,,,,,,,909.0,,,,,,,,diyarbakir,,,,,,,,,,,,,,2014.0,hdp,bdp,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,15789.0,521.0,241633.0,0.0,10097.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,498253.0,405591.0,0.8140262075692469,384917.0,,,,,,,1902.0,9331.0,,,,0.0,866.0,,,,,,,,,,23167.0,,,,,,,,,,,,,,0.0,,,,,,,,,629.0,,,,,,,,erzurum,,,,,,,,,,,,,,2014.0,akp,akp,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,8668.0,620.0,241789.0,97945.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,651356.0,560763.0,0.8609163038338482,546269.0,,,,,,,872.0,285688.0,,,,0.0,4296.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,602.0,,,,,,,,eskisehir,,,,,,,,,,,,,,2014.0,chp,chp,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,6579.0,1162.0,246582.0,0.0,488.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1227454.0,966758.0,0.7876124074710743,917080.0,,,,,,,4125.0,0.0,,,,0.0,240313.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,2345.0,,,,,,,,gaziantep,,,,,,,,,,,,,,2014.0,akp,akp,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,17359.0,3179.0,494906.0,150831.0,4022.0,,,,,,,,,,,,,,,,,,,,,,,,,,
