year,city,registered_voters,turnout,percent_turnout,valid_vote,ak parti,anadolu partisi,anap,atp,bbp,bp,btp,chp,dbp,dehap,depar,dp,dsp,dtp,dyp,emep,fp,genc parti,hadep,hakpar,hap,has parti,hdp,hepar,hkp,hp,huda par,hyp,idp,ip,iyi parti,kp,ldp,mcp,mdp,mep,mhp,millet partisi,mmp,odp,rp,saadet partisi,shp,sip,sp,tkp,turk parti,vatan partisi,ydh,ydp,yeni parti,ytp,yurtp,bgmz,not .  milletvekili genel seciminde  milletvekili secilmistir. ancak istanbul'dan secilen mhp milletvekillerinden bir milletvekilinin olumu nedeniyle meclis'te bulunan milletvekili sayisi  olmustur.,milletvekili sayisi,ap,birlik partisi,cgp,ckmp,cmp,demokratik parti,gp,hurriyet partisi,msp,tbp,tip,vp,ytp 
1999,istanbul,6134811.0,5143911.0,83.8,4932304.0,,,780518.0,,50342.0,11927.0,,472385.0,5255.0,,4291.0,11517.0,1466438.0,14162.0,268932.0,7058.0,1052738.0,,199388.0,,,,,,,,,,,6530.0,,,16613.0,,,,498745.0,5693.0,,58713.0,,,,4388.0,,,,,,4578.0,,,,3544.0,,,,,,,,,,,,,,,
1995,istanbul,5243739.0,4319315.0,82.4,4157617.0,,,916512.0,,,,,485551.0,,,,,764258.0,,641825.0,,,,151737.0,,,,,,,,,,,8223.0,,,,,,,154405.0,12652.0,,,997935.0,,,,,,,,19893.0,7879.0,4698.0,,,4891.0,,,,,,,,,,,,,,,
1991,istanbul,4265566.0,3311756.0,77.6,3220039.0,,,887986.0,,,,,,,,,,568738.0,,607188.0,,,,,,,,,,,,,,,,,,,,,,,,,,539573.0,,607955.0,,11977.0,,,,,,,,,2593.0,,,,,,,,,,,,,,,
1987,istanbul,3544389.0,3178552.0,89.7,3104909.0,,,1235123.0,,,,,,,,,,313242.0,,368678.0,,,,,,,,,,,,,,12755.0,,,,,36805.0,,,,,,,213544.0,,928459.0,,,,,,,,,,,2526.0,,,,,,,,,,,,,,,
1983,istanbul,2525756.0,2289248.0,90.6,2178084.0,,,991042.0,,,,,,,,,,,,,,,,,,,,,,,740439.0,,,,,,,,,432233.0,,,,,,,,,,,,,,,,,,,14370.0,,,,,,,,,,,,,,,
1977,antep,367858.0,253592.0,68.9,244454.0,,,,,,,,109255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27172.0,,,,,,,,,,,,,,,,,2082.0,,8.0,79306.0,,2901.0,,,2868.0,,,20870.0,,,,
1973,antep,268722.0,173359.0,64.5,165579.0,,,,,,,,61213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7696.0,,,,,,,,,,,,,,,,,3169.0,,8.0,29332.0,,17968.0,,,25742.0,,,19162.0,1297.0,,,
1969,antep,230752.0,154112.0,66.7,146224.0,,,,,,,,49123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5144.0,1254.0,,,,,,,,,,,,,,,,15698.0,,7.0,51216.0,3509.0,,,,,16823.0,,,,2872.0,,585.0
1965,antep,209365.0,154814.0,73.9,148482.0,,,,,,,,56133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3788.0,,,,,,,,,,,,,,,,4.0,,7.0,76799.0,,,2282.0,,,,,,,5064.0,,4412.0
1961,antep,191785.0,163950.0,85.5,156907.0,,,,,,,,73766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,46066.0,,,4313.0,,,,,,,,,32766.0
1957,antep,176236.0,150075.0,85.2,,,,,,,,,69762.0,,,,70848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,2294.0,,,4613.0,,,,,
