year,city,registered_voters,turnout,percent_turnout,valid_vote,ak parti,anadolu partisi,anap,atp,bbp,bp,btp,chp,dbp,dehap,depar,dp,dsp,dtp,dyp,emep,fp,genc parti,hadep,hakpar,hap,has parti,hdp,hepar,hkp,hp,huda par,hyp,idp,ip,iyi parti,kp,ldp,mcp,mdp,mep,mhp,millet partisi,mmp,odp,rp,saadet partisi,shp,sip,sp,tkp,turk parti,vatan partisi,ydh,ydp,yeni parti,ytp,yurtp,bgmz,not .  milletvekili genel seciminde  milletvekili secilmistir. ancak istanbul'dan secilen mhp milletvekillerinden bir milletvekilinin olumu nedeniyle meclis'te bulunan milletvekili sayisi  olmustur.,milletvekili sayisi,ap,birlik partisi,cgp,ckmp,cmp,demokratik parti,gp,hurriyet partisi,msp,tbp,tip,vp,ytp 
1987,van,198988.0,184008.0,92.5,172852.0,,,43927.0,,,,,,,,,,16872.0,,24388.0,,,,,,,,,,,,,,1957.0,,,,,7120.0,,,,,,,30064.0,,24331.0,,,,,,,,,,,24539.0,,,,,,,,,,,,,,,
1983,van,142664.0,129034.0,90.4,122070.0,,,38758.0,,,,,,,,,,,,,,,,,,,,,,,29151.0,,,,,,,,,54161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,adana,1524922.0,1313497.0,86.1,1289267.0,461191.0,,,,,,,346425.0,,,,,,,,,,,,,,,179742.0,,,,7042.0,,,,161497.0,,,,,,156257.0,,,,,14118.0,,,,,,2502.0,,,,,,413.0,,,,,,,,,,,,,,,
1 Kasım 2015,adana,1483448.0,1271890.0,85.7,1255729.0,481851.0,,,,5028.0,,1107.0,379690.0,,,,1459.0,782.0,,12.0,,,,,2635.0,,,153880.0,,2106.0,,,,,,,658.0,915.0,,,,248655.0,488.0,,,,8175.0,,,,,,2948.0,,,,,,0.0,,,,,,,,,,,,,,,
7 Haziran 2015,adana,1477328.0,1254393.0,84.9,1229817.0,382219.0,608.0,,,,,1774.0,359280.0,,,,1549.0,1941.0,,1135.0,,,,,1308.0,16.0,,183491.0,,1481.0,,,,,,,318.0,979.0,,,652.0,290428.0,514.0,,,,19362.0,,,,,2223.0,3907.0,,,,,5.0,5014.0,,,,,,,,,,,,,,,
2011,adana,1401712.0,1196001.0,85.3,1168664.0,438321.0,,,,6885.0,,,361547.0,,,,6436.0,2144.0,,2055.0,0.0,,,,,,5265.0,,2183.0,,,,,,,,,332.0,,,,238140.0,2178.0,856.0,,,11078.0,,,,1322.0,,,,,,,,93169.0,,,,,,,,,,,,,,,
2007,adana,1189228.0,934190.0,78.6,910856.0,338122.0,,,,,,3118.0,209276.0,,,,48426.0,,,,,,27991.0,,,,,,,,,,4142.0,,3625.0,,,,,,,210006.0,,,1579.0,,14322.0,,,,1762.0,,,,,,,,54222.0,,,,,,,,,,,,,,,
2002,adana,1194078.0,887142.0,74.3,853417.0,229729.0,,31130.0,,4866.0,,2095.0,182436.0,,79397.0,,,11954.0,,98440.0,,,75464.0,,,,,,,,,,,,3962.0,,,1598.0,,,,97700.0,1487.0,,3765.0,,14178.0,,,,1759.0,,,,,,9025.0,6369.0,1115.0,,,,,,,,,,,,,,,
1999,adana,1056015.0,884597.0,83.8,845706.0,,,100141.0,,6294.0,2286.0,,67502.0,1056.0,,828.0,2219.0,219535.0,3439.0,79269.0,1465.0,87018.0,,62418.0,,,,,,,,,,,1632.0,,,1846.0,,,,199723.0,2112.0,,7030.0,,,,755.0,,,,,,841.0,,,,80.0,,,,,,,,,,,,,,,
1995,adana,1180702.0,980029.0,83.0,947779.0,,,157542.0,,,,,74898.0,,,,,178461.0,,165837.0,,,,63277.0,,,,,,,,,,,2165.0,,,,,,,136386.0,3734.0,,,158680.0,,,,,,,,3370.0,2460.0,1460.0,,,2437.0,,,,,,,,,,,,,,,
1991,adana,1015913.0,820230.0,80.7,797304.0,,,169175.0,,,,,,,,,,93119.0,,239377.0,,,,,,,,,,,,,,,,,,,,,,,,,,117303.0,,176264.0,,3155.0,,,,,,,,,390.0,,,,,,,,,,,,,,,
1987,adana,856972.0,795618.0,92.8,779658.0,,,264776.0,,,,,,,,,,78049.0,,149868.0,,,,,,,,,,,,,,5240.0,,,,,29797.0,,,,,,,43055.0,,210436.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,adana,612685.0,557667.0,91.0,527145.0,,,213739.0,,,,,,,,,,,,,,,,,,,,,,,194641.0,,,,,,,,,114518.0,,,,,,,,,,,,,,,,,,,4247.0,,,,,,,,,,,,,,,
1977,mardin,239624.0,187248.0,78.1,183958.0,,,,,,,,39008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.0,,,,,,,,,,,,,,,,,56908.0,,6.0,30385.0,,13643.0,,,1011.0,,,42751.0,,,,
1973,mardin,191490.0,140872.0,73.6,137853.0,,,,,,,,24417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.0,,,,,,,,,,,,,,,,,31793.0,,6.0,25853.0,,14261.0,,,24213.0,,,16694.0,,,,
1969,mardin,178749.0,140087.0,78.3,137660.0,,,,,,,,16558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0,944.0,,,,,,,,,,,,,,,,53642.0,,6.0,38296.0,,,,,,11057.0,,,,317.0,,16598.0
1965,mardin,164289.0,121301.0,73.8,118445.0,,,,,,,,26611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46329.0,,6.0,26828.0,,,2145.0,,,,,,,1965.0,,14567.0
1961,mardin,150006.0,119459.0,79.6,117283.0,,,,,,,,50734.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,25622.0,,,,,,,,,40927.0
1957,mardin,134107.0,105685.0,78.8,,,,,,,,,55571.0,,,,48379.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,651.0,,,,,,,,
1954,mardin,124846.0,108952.0,87.3,,,,,,,,,44650.0,,,,60614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21646.0,,7.0,,,,,,,,,,,,,
1950,mardin,104553.0,92178.0,88.2,,,,,,,,,44882.0,,,,45078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47771.0,,7.0,,,,,,,,,,,,,
1977,sakarya,263060.0,201204.0,76.5,194390.0,,,,,,,,70233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8082.0,,,,,,,,,,,,,,,,,352.0,,5.0,86124.0,,2655.0,,,6255.0,,,20689.0,,,,
1973,sakarya,221103.0,143878.0,65.0,136455.0,,,,,,,,33705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3350.0,870.0,,,,,,,,,,,,,,,,747.0,,6.0,39928.0,,4622.0,,,28441.0,,,24792.0,,,,
1969,sakarya,196665.0,127016.0,64.5,120124.0,,,,,,,,34240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3940.0,4115.0,,,,,,,,,,,,,,,,5391.0,,6.0,64263.0,,,,,,5561.0,,,,1825.0,,789.0
1965,sakarya,178053.0,131183.0,73.7,125039.0,,,,,,,,26334.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8521.0,,,,,,,,,,,,,,,,413.0,,6.0,71625.0,,,2210.0,,,,,,,2777.0,,13159.0
1961,sakarya,166675.0,139486.0,83.7,133341.0,,,,,,,,37333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.0,,6.0,51242.0,,,16578.0,,,,,,,,,28039.0
1957,sakarya,147842.0,120909.0,81.8,,,,,,,,,34110.0,,,,70248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,8.0,,,,,6144.0,,,8665.0,,,,,
1954,sakarya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,sakarya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,kocaeli,282508.0,193436.0,68.5,187886.0,,,,,,,,82278.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3387.0,,,,,,,,,,,,,,,,,,,5.0,75193.0,,2021.0,,,4082.0,,,19951.0,538.0,434.0,,
1973,kocaeli,199369.0,133443.0,66.9,128233.0,,,,,,,,43128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1478.0,598.0,,,,,,,,,,,,,,,,558.0,,5.0,41474.0,,4576.0,,,12166.0,,,23247.0,1008.0,,,
1969,kocaeli,160992.0,105250.0,65.3,100610.0,,,,,,,,33194.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1389.0,5903.0,,,,,,,,,,,,,,,,212.0,,4.0,52671.0,1360.0,,,,,3543.0,,,,1914.0,,424.0
1965,kocaeli,147971.0,111422.0,75.3,106196.0,,,,,,,,31622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9192.0,,,,,,,,,,,,,,,,155.0,,5.0,58931.0,,,1486.0,,,,,,,3495.0,,1315.0
1961,kocaeli,140326.0,114691.0,81.7,110272.0,,,,,,,,42752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,49404.0,,,15507.0,,,,,,,,,2609.0
1957,kocaeli,129281.0,98208.0,76.0,,,,,,,,,38300.0,,,,49517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,5727.0,,,4047.0,,,,,
1954,kocaeli,230590.0,204468.0,88.7,,,,,,,,,60860.0,,,,127578.0,,,,,,,,,,,,,,,,,,,,798.0,,,,,,,,,,,,,,,,,,,,,,1184.0,,12.0,,,,,12008.0,,,,,,,,
1950,kocaeli,198729.0,181624.0,91.4,,,,,,,,,64828.0,,,,105910.0,,,,,,,,,,,,,,,,,,,,,,,,,,8251.0,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,
1977,hatay,368454.0,276821.0,75.1,270576.0,,,,,,,,148967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24444.0,,,,,,,,,,,,,,,,,6.0,,8.0,77395.0,,2423.0,,,1834.0,,,13853.0,1170.0,490.0,,
1973,hatay,251734.0,158446.0,62.9,150498.0,,,,,,,,56382.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7708.0,665.0,,,,,,,,,,,,,,,,5862.0,,7.0,35117.0,,9741.0,,,22621.0,,,9680.0,2722.0,,,
1969,hatay,216275.0,143729.0,66.4,137880.0,,,,,,,,41450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3657.0,582.0,,,,,,,,,,,,,,,,23116.0,,7.0,54411.0,2974.0,,,,,6028.0,,,,5033.0,,629.0
1965,hatay,196797.0,120469.0,61.2,116488.0,,,,,,,,36342.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2376.0,,,,,,,,,,,,,,,,,,7.0,66956.0,,,1712.0,,,,,,,5371.0,,3731.0
1961,hatay,186896.0,151513.0,81.1,145825.0,,,,,,,,54279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4920.0,,7.0,31588.0,,,5145.0,,,,,,,,,49697.0
1957,hatay,172193.0,135238.0,78.5,,,,,,,,,62562.0,,,,60617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,2653.0,,,7503.0,,,,,
1954,hatay,140205.0,129274.0,92.2,,,,,,,,,48746.0,,,,76136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,8.0,,,,,2034.0,,,,,,,,
1950,hatay,116756.0,103561.0,88.7,,,,,,,,,53818.0,,,,49240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,
