city,year,registered_voters,turnout,valid_vote,saadet partisi,btp,tkp,vatan partisi,chp,ak parti,dp,mhp,iyi parti,hdp,dsp,bgmz,anap,ldp,dtp,ip,hakpar,bbp,bdp,millet partisi,odp,emep,hyp,dyp,rp,sbp,shp,ydp,bagimsizlar,baskanlik sayisi,atp,genc parti,ytp,huda par,a.p.,turk parti,hkp,myp,yurtp,hepar,bp,dbp,dehap,depar,fp,hadep,sip,BAĞIMSIZLAR_vote,bagimsizlar_percent,percent_turnout,ANAP_vote,anap_percent,DSP_vote,dsp_percent,DYP_vote,dyp_percent,IDP_vote,idp_percent,MÇP_vote,mcp_percent,RP_vote,rp_percent,SHP_vote,shp_percent,prev_year,winner,prev_winner,swing,election_type,anadolu partisi,hap,has parti,hp,idp,kp,mcp,mdp,mep,mmp,sp,ydh,yeni parti,ap,birlik partisi,cgp,ckmp,cmp,demokratik parti,gp,hurriyet partisi,msp,tbp,tip,vp,ytp ,event,event_bool,cyprus,earthquake,kurdish,refugee
kahramanmaras,2019,754604.0,656611.0,624585.0,13145.0,5412.0,888.0,1857.0,170407.0,422222.0,0.0,0.0,0.0,0.0,7628.0,3026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8701398349332895,,,,,,,,,,,,,,,2014.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
mardin,2019,484284.0,390707.0,371334.0,4258.0,615.0,399.0,154.0,6781.0,143060.0,1102.0,0.0,4078.0,208854.0,760.0,1273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8067724723509345,,,,,,,,,,,,,,,2014.0,hdp,bgmz,1,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
mugla,2019,726123.0,627276.0,603862.0,3335.0,18753.0,1406.0,2100.0,217476.0,171621.0,22978.0,0.0,0.0,0.0,5148.0,161045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8638701707561942,,,,,,,,,,,,,,,2014.0,chp,chp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
ordu,2019,581352.0,497766.0,474904.0,124114.0,1473.0,903.0,1037.0,73468.0,270377.0,1337.0,0.0,0.0,0.0,1788.0,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8562213598645915,,,,,,,,,,,,,,,2014.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
sakarya,2019,717122.0,621122.0,594535.0,23108.0,4245.0,1137.0,1392.0,0.0,386700.0,3346.0,0.0,164246.0,6147.0,2621.0,1593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8661315647825614,,,,,,,,,,,,,,,2014.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
samsun,2019,970988.0,838085.0,800171.0,12323.0,13437.0,1524.0,1729.0,0.0,379150.0,5191.0,0.0,213558.0,0.0,4592.0,168667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8631260118559653,,,,,,,,,,,,,,,2014.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
tekirdag,2019,749926.0,640044.0,621778.0,6181.0,921.0,1044.0,1156.0,318412.0,272581.0,2258.0,0.0,0.0,11699.0,7008.0,518.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8534762096526858,,,,,,,,,,,,,,,2014.0,chp,chp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
trabzon,2019,594589.0,497876.0,475451.0,15502.0,2821.0,950.0,1335.0,0.0,307167.0,3747.0,0.0,140421.0,0.0,2117.0,1391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8373447877441392,,,,,,,,,,,,,,,2014.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
sanliurfa,2019,1093515.0,893936.0,848816.0,308510.0,6284.0,2614.0,3327.0,0.0,516202.0,0.0,0.0,0.0,0.0,7843.0,4036.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8174885575415061,,,,,,,,,,,,,,,2014.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
van,2019,652878.0,512563.0,483905.0,9081.0,680.0,727.0,447.0,9191.0,196040.0,0.0,0.0,5232.0,260609.0,1898.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7850823584191841,,,,,,,,,,,,,,,2014.0,hdp,bdp,1,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
adana,2009,1019592.0,835470.0,802522.0,12641.0,1546.0,786.0,,209876.0,237206.0,4964.0,238706.0,,,9670.0,683.0,2023.0,490.0,74421.0,0.0,1130.0,6507.0,0.0,930.0,0.0,0.0,943.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8194160016947956,,,,,,,,,,,,,,,2004.0,mhp,akp,1,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
ankara,2009,2979744.0,2533176.0,2440455.0,29878.0,6001.0,2270.0,,763879.0,940230.0,6877.0,667871.0,,,0.0,1200.0,6174.0,1233.0,11353.0,0.0,0.0,0.0,0.0,3489.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8501320918844035,,,,,,,,,,,,,,,2004.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
