,il,sandik sayisi_2019,kayitli secmen sayisi_2019,oy kullanan secmen sayisi_2019,gecerli oy sayisi_2019,saadet partisi_2019,btp_2019,tkp_2019,vatan partisi_2019,chp_2019,ak parti_2019,dp_2019,mhp_2019,iyi parti_2019,hdp_2019,dsp_2019,bgmz_2019,sandik sayisi_2009,kayitli secmen sayisi_2009,oy kullanan secmen sayisi_2009,gecerli oy sayisi_2009,anap_2009,mhp_2009,ldp_2009,dsp_2009,dtp_2009,ip_2009,chp_2009,hakpar_2009,bbp_2009,bdp_2009,millet partisi_2009,odp_2009,tkp_2009,dp_2009,saadet partisi_2009,ak parti_2009,btp_2009,emep_2009,hyp_2009,bgmz_2009,kayitli secmen sayisi_1994,oy kullanan secmen sayisi ve orani _1994,gecerli oy sayisi_1994,anap_1994,bbp_1994,chp_1994,dp_1994,dsp_1994,dyp_1994,ip_1994,millet partisi_1994,mhp_1994,rp_1994,sbp_1994,shp_1994,ydp_1994,bagimsizlar_1994,kayitli secmen sayisi_2004,oy kullanan secmen sayisi_2004,gecerli oy sayisi_2004,baskanlik sayisi_2004,emep_2004,dsp_2004,anap_2004,btp_2004,ak parti_2004,bbp_2004,ip_2004,odp_2004,ldp_2004,tkp_2004,dyp_2004,atp_2004,millet partisi_2004,chp_2004,genc parti_2004,ytp_2004,shp_2004,saadet partisi_2004,dp_2004,mhp_2004,bagimsizlar_2004,sandik sayisi_2014,kayitli secmen sayisi_2014,oy kullanan secmen sayisi_2014,gecerli oy sayisi_2014,huda par_2014,dsp_2014,a.p._2014,dyp_2014,turk parti_2014,hkp_2014,tkp_2014,genc parti_2014,bbp_2014,ak parti_2014,myp_2014,yurtp_2014,dp_2014,emep_2014,odp_2014,millet partisi_2014,saadet partisi_2014,hakpar_2014,ldp_2014,bdp_2014,btp_2014,ip_2014,hdp_2014,chp_2014,hepar_2014,mhp_2014,bgmz_2014,kayitli secmen sayisi_1999,oy kullanan secmen sayisi ve orani _1999,gecerli oy sayisi_1999,anap_1999,bp_1999,bbp_1999,chp_1999,dp_1999,dbp_1999,dsp_1999,dtp_1999,dyp_1999,dehap_1999,depar_1999,emep_1999,fp_1999,hadep_1999,ip_1999,ldp_1999,millet partisi_1999,mhp_1999,odp_1999,sip_1999,ydp_1999,BAĞIMSIZLAR_vote_1999,bagimsizlar_percent_1999,kayitli secmen sayisi_1989,oy kullanan secmen sayisi_1989,secime katilma orani _1989,gecerli oy sayisi_1989,ANAP_vote_1989,anap_percent_1989,DSP_vote_1989,dsp_percent_1989,DYP_vote_1989,dyp_percent_1989,IDP_vote_1989,idp_percent_1989,MÇP_vote_1989,mcp_percent_1989,RP_vote_1989,rp_percent_1989,SHP_vote_1989,shp_percent_1989,BAĞIMSIZLAR_vote_1989,bagimsizlar_percent_1989
10,gaziantep,3981.0,1227454.0,966758.0,917080.0,17359.0,4125.0,2345.0,3179.0,0.0,494906.0,0.0,0.0,150831.0,0.0,240313.0,4022.0,2419.0,729349.0,594367.0,569897.0,0.0,28612.0,,2050.0,32268.0,0.0,172101.0,0.0,7533.0,0.0,0.0,0.0,610.0,1767.0,18875.0,304014.0,1577.0,0.0,0.0,490.0,,95.5,,19.8,0.2,4.9,,23.2,21.9,0.2,0.4,5.2,13.6,0.1,8.9,0.3,1.3,479412.0,325245.0,309061.0,,,1170.0,580.0,1088.0,177529.0,1806.0,683.0,,,668.0,1985.0,640.0,611.0,103342.0,2315.0,,,10839.0,,5391.0,414.0,3877.0,1092935.0,935600.0,898658.0,0.0,879.0,0.0,2130.0,0.0,1072.0,0.0,0.0,9612.0,490398.0,0.0,0.0,7807.0,0.0,0.0,720.0,25266.0,1235.0,0.0,55911.0,2569.0,0.0,0.0,192986.0,0.0,106881.0,1192.0,396478.0,322718.0,303419.0,19213.0,,3536.0,97015.0,,,40731.0,1004.0,14519.0,,,430.0,62220.0,18755.0,505.0,,924.0,41176.0,970.0,242.0,406.0,1773.0,,238879.0,176703.0,74.0,167086.0,22406,13.4,6264,3.7,52407,31.3,1098,0.6,3743,2.2,11815,7,69323,41.4,30,0
11,hatay,3421.0,1067817.0,913730.0,888857.0,7547.0,1140.0,818.0,1829.0,490431.0,380455.0,0.0,0.0,0.0,0.0,6213.0,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3412.0,968877.0,864537.0,839505.0,0.0,587.0,0.0,319.0,0.0,635.0,0.0,0.0,2334.0,339411.0,0.0,0.0,0.0,0.0,0.0,865.0,7012.0,434.0,0.0,0.0,878.0,0.0,11194.0,344301.0,1622.0,129400.0,513.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,mersin,4155.0,1281570.0,1094234.0,1057902.0,7202.0,1939.0,2187.0,3998.0,477020.0,0.0,127168.0,433669.0,0.0,0.0,4719.0,0.0,1824.0,552367.0,456339.0,439265.0,0.0,108775.0,,16128.0,79483.0,0.0,135632.0,718.0,0.0,0.0,520.0,0.0,562.0,1107.0,2501.0,92715.0,748.0,0.0,0.0,376.0,,,,,,,,,,,,,,,,,,340440.0,242129.0,231563.0,,,920.0,462.0,289.0,46209.0,,368.0,,,224.0,2338.0,,305.0,78830.0,3421.0,,52189.0,1357.0,,43033.0,1618.0,4209.0,1186769.0,1061530.0,1014978.0,0.0,738.0,0.0,798.0,0.0,921.0,0.0,0.0,3967.0,284273.0,0.0,0.0,2705.0,0.0,0.0,517.0,6479.0,658.0,520.0,97957.0,1870.0,1757.0,0.0,287561.0,0.0,324257.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,istanbul,31186.0,10560963.0,8925166.0,8746566.0,47832.0,0.0,0.0,13962.0,4742082.0,3936068.0,0.0,0.0,0.0,0.0,0.0,6622.0,28738.0,8805063.0,7199083.0,6946435.0,21960.0,348269.0,3025.0,90399.0,314229.0,0.0,2568710.0,9502.0,79401.0,0.0,4961.0,0.0,7709.0,33089.0,337014.0,3105555.0,17071.0,0.0,0.0,5541.0,,84.5,,37.7,0.2,8.5,0.7,6.4,11.5,0.3,0.1,3.6,5.1,,25.7,0.2,,6440606.0,4400637.0,4231487.0,,,57957.0,51979.0,13312.0,1917577.0,20560.0,7919.0,,,8199.0,206410.0,8364.0,,1223856.0,145120.0,8818.0,153840.0,228615.0,,173274.0,5687.0,32214.0,10002256.0,8941326.0,8553814.0,0.0,7221.0,0.0,2344.0,0.0,4352.0,7524.0,0.0,47514.0,4101906.0,0.0,16614.0,5604.0,0.0,0.0,2311.0,122950.0,7371.0,1430.0,0.0,10717.0,15275.0,414290.0,3428454.0,14231.0,339785.0,3921.0,5521300.0,4573976.0,4368656.0,977920.0,8754.0,23010.0,607895.0,,,882923.0,7232.0,165114.0,,,5729.0,1202050.0,114339.0,5072.0,9995.0,4462.0,320734.0,23864.0,2864.0,2849.0,3850.0,,3520723.0,2393003.0,68.0,2277364.0,594845,26.1,278294,12.2,315591,13.8,7241,0.3,22278,0.9,238745,10.4,818756,35.9,1614,0
14,izmir,10161.0,3250780.0,2740742.0,2667297.0,30180.0,3956.0,8061.0,7963.0,1550192.0,1032359.0,11209.0,0.0,0.0,0.0,20509.0,2868.0,8089.0,2422480.0,2043178.0,1972359.0,6569.0,138056.0,1420.0,30659.0,0.0,0.0,1107562.0,0.0,0.0,0.0,0.0,0.0,5483.0,14169.0,18428.0,599395.0,5992.0,0.0,5759.0,38867.0,,88.8,,21.6,0.2,1.2,,21.3,13.6,0.1,0.3,1.8,24.3,0.2,15.1,0.2,0.1,1668368.0,1239915.0,1192541.0,,,11527.0,10939.0,2323.0,388336.0,,2777.0,,,2040.0,32708.0,,2134.0,562561.0,71671.0,,49382.0,6516.0,,48535.0,1092.0,10318.0,3032175.0,2740602.0,2637550.0,0.0,13979.0,0.0,2247.0,2160.0,2407.0,2246.0,0.0,12735.0,947516.0,0.0,3204.0,4559.0,0.0,0.0,940.0,13813.0,2140.0,549.0,0.0,2951.0,10755.0,88797.0,1308134.0,6332.0,210272.0,1814.0,1469795.0,1265035.0,1206091.0,230673.0,2451.0,,217337.0,2099.0,,367553.0,2285.0,197169.0,,,2115.0,41200.0,45559.0,1712.0,2785.0,1288.0,82140.0,7470.0,1036.0,,1219.0,,981771.0,727077.0,74.1,698389.0,169672,24.2,39186,5.6,97183,13.9,2227,0.3,5326,0.7,18815,2.6,365980,52.4,,
15,kayseri,3191.0,956149.0,820938.0,789750.0,21688.0,4031.0,1361.0,2380.0,0.0,500621.0,0.0,0.0,248947.0,4542.0,3218.0,2962.0,1938.0,581273.0,494668.0,477233.0,2018.0,107637.0,392.0,3496.0,0.0,0.0,40862.0,0.0,0.0,0.0,901.0,0.0,681.0,4509.0,21352.0,291333.0,2979.0,801.0,0.0,272.0,,89.6,,13.3,,3.1,0.2,7.2,26.5,0.2,0.2,,4.9,0.3,43.7,0.1,0.3,353715.0,238431.0,232235.0,,765.0,1174.0,,894.0,163141.0,3953.0,438.0,,,248.0,6547.0,,329.0,21580.0,2607.0,600.0,,8125.0,,21259.0,575.0,3218.0,877377.0,795638.0,765168.0,0.0,0.0,0.0,438.0,0.0,718.0,0.0,0.0,16684.0,450748.0,0.0,0.0,2285.0,0.0,0.0,500.0,13173.0,609.0,200.0,0.0,1143.0,478.0,2633.0,68141.0,0.0,206569.0,849.0,302251.0,257028.0,246926.0,12728.0,,4977.0,11701.0,,,38828.0,511.0,11996.0,,,189.0,96289.0,2396.0,262.0,,638.0,65581.0,430.0,157.0,243.0,,,202819.0,147467.0,72.7,139952.0,37059,26.4,6589,4.7,32230,23,904,0.6,9118,6.5,15216,10.8,38836,27.7,,
16,kocaeli,4196.0,1349480.0,1151218.0,1098319.0,54640.0,4692.0,3470.0,2827.0,0.0,610507.0,6143.0,0.0,359060.0,41870.0,10876.0,4234.0,3494.0,1025094.0,891735.0,857940.0,0.0,55515.0,,5641.0,14308.0,0.0,272389.0,0.0,8034.0,0.0,0.0,0.0,1471.0,18354.0,73952.0,407170.0,1106.0,0.0,0.0,0.0,,92.2,,16.4,0.6,2.4,,3.8,6.1,0.2,0.4,26.3,32.4,,11.0,0.4,,157106.0,116746.0,112289.0,,,796.0,378.0,381.0,57295.0,243.0,,,,170.0,4554.0,,,36176.0,1634.0,363.0,2325.0,5186.0,,2613.0,175.0,4032.0,1178676.0,1075800.0,1025139.0,0.0,968.0,0.0,654.0,0.0,750.0,0.0,0.0,6528.0,518639.0,0.0,0.0,3570.0,0.0,0.0,547.0,50873.0,896.0,225.0,0.0,1441.0,925.0,24235.0,268150.0,1826.0,144029.0,883.0,141169.0,122624.0,116213.0,7454.0,,797.0,46747.0,,,12809.0,,9101.0,,,108.0,31359.0,690.0,80.0,,300.0,6304.0,375.0,89.0,,,,,,,,,,,,,,,,,,,,,,,
17,konya,5044.0,1521399.0,1285194.0,1218037.0,50099.0,8623.0,3690.0,3423.0,0.0,859115.0,5647.0,0.0,245997.0,26589.0,6486.0,8368.0,2111.0,643648.0,537776.0,521199.0,0.0,56796.0,191.0,4043.0,4560.0,0.0,16687.0,0.0,0.0,0.0,604.0,0.0,447.0,1664.0,77240.0,356570.0,1923.0,0.0,474.0,0.0,,91.8,,11.5,0.3,2.2,0.3,8.7,18.9,0.1,0.2,2.0,21.9,,33.7,0.2,,441115.0,345146.0,334946.0,,,624.0,1108.0,684.0,207721.0,1602.0,336.0,,,287.0,2076.0,,,7676.0,1017.0,,2381.0,88463.0,,19975.0,996.0,5116.0,1402056.0,1265031.0,1206204.0,0.0,684.0,0.0,962.0,0.0,1309.0,0.0,0.0,10531.0,775164.0,0.0,0.0,4559.0,0.0,0.0,982.0,90115.0,1406.0,0.0,23490.0,1402.0,1210.0,0.0,69272.0,1225.0,222640.0,1253.0,363921.0,321929.0,310116.0,12801.0,,5008.0,6320.0,,,15537.0,969.0,30630.0,,,,150515.0,3703.0,388.0,491.0,1073.0,82008.0,414.0,259.0,,,,251975.0,192424.0,76.4,183911.0,31091,16.9,7282,3.9,44568,24.2,1022,0.5,8033,4.3,76621,41.6,15294,8.3,,
18,malatya,2089.0,561708.0,464819.0,446292.0,23709.0,1482.0,625.0,618.0,103690.0,305588.0,1651.0,0.0,0.0,6555.0,1345.0,1029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2111.0,524621.0,457515.0,444973.0,0.0,227.0,0.0,191.0,0.0,313.0,0.0,0.0,2134.0,274185.0,0.0,0.0,0.0,0.0,0.0,1480.0,43984.0,360.0,50.0,0.0,781.0,396.0,6996.0,79006.0,0.0,34090.0,780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,manisa,3674.0,1052970.0,933133.0,873021.0,10098.0,4290.0,2888.0,3853.0,0.0,0.0,12014.0,460671.0,332338.0,37919.0,6626.0,2324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3750.0,996258.0,928454.0,884968.0,0.0,834.0,0.0,1046.0,0.0,1187.0,0.0,0.0,4355.0,324903.0,0.0,0.0,3522.0,0.0,0.0,589.0,6800.0,912.0,0.0,0.0,1334.0,982.0,21790.0,161770.0,0.0,354944.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
